assinante_hash,home_cluster,home_municipio,income_cluster,age_group,mobility_pattern,flag_flagship
1,CBD_BEIRAMAR,Florianópolis,C,25-34,INTENSA,0
2,SAO_JOSE_BARREIROS,São José,B,55+,MODERADA,1
3,LAGOA_CONCEICAO,Florianópolis,C,55+,INTENSA,0
4,CAMPECHE,Florianópolis,A,18-24,INTENSA,0
5,CENTRO_HISTORICO,Florianópolis,C,45-54,BAIXA,0
6,SANTO_AMARO,Santo Amaro da Imperatriz,B,25-34,MODERADA,0
7,COQUEIROS,Florianópolis,D,55+,MODERADA,0
8,PALHOCA_CENTRO,Palhoça,C,18-24,BAIXA,0
9,SAO_JOSE_ROCADO,São José,D,35-44,BAIXA,1
10,ESTREITO_CAPOEIRAS,Florianópolis,D,35-44,MODERADA,0
11,SC401_CORREDOR,Florianópolis,D,55+,MODERADA,0
12,PALHOCA_BR101_SUL,Palhoça,C,35-44,MODERADA,1
13,CENTRO_HISTORICO,Florianópolis,B,25-34,MODERADA,1
14,SAO_JOSE_BARREIROS,São José,C,55+,BAIXA,1
15,PALHOCA_BR101_SUL,Palhoça,D,18-24,BAIXA,0
16,CENTRO_HISTORICO,Florianópolis,C,35-44,INTENSA,0
17,PALHOCA_CENTRO,Palhoça,D,45-54,BAIXA,1
18,SAO_JOSE_BARREIROS,São José,D,45-54,BAIXA,0
19,CAMPECHE,Florianópolis,C,45-54,INTENSA,0
20,ESTREITO_CAPOEIRAS,Florianópolis,B,25-34,MODERADA,1
21,SAO_JOSE_KOBRASOL,São José,A,25-34,INTENSA,1
22,TRINDADE,Florianópolis,B,45-54,INTENSA,0
23,CBD_BEIRAMAR,Florianópolis,C,18-24,BAIXA,0
24,SAO_JOSE_CENTRO,São José,C,55+,INTENSA,0
25,SC401_CORREDOR,Florianópolis,B,25-34,MODERADA,0
26,UFSC,Florianópolis,B,25-34,BAIXA,0
27,TRINDADE,Florianópolis,C,18-24,BAIXA,0
28,ESTREITO_CAPOEIRAS,Florianópolis,C,55+,MODERADA,0
29,TRINDADE,Florianópolis,A,35-44,MODERADA,0
30,PALHOCA_CENTRO,Palhoça,D,45-54,MODERADA,0
31,UFSC,Florianópolis,C,45-54,INTENSA,0
32,RESIDENCIAL_NORTE,Florianópolis,C,45-54,INTENSA,0
33,SANTO_AMARO,Santo Amaro da Imperatriz,C,45-54,INTENSA,0
34,TRINDADE,Florianópolis,D,25-34,MODERADA,1
35,CENTRO_HISTORICO,Florianópolis,D,18-24,INTENSA,0
36,UFSC,Florianópolis,D,55+,MODERADA,0
37,CBD_BEIRAMAR,Florianópolis,B,45-54,MODERADA,1
38,JURERE,Florianópolis,C,45-54,BAIXA,0
39,AEROPORTO_HLZ,Florianópolis,C,45-54,MODERADA,0
40,ESTREITO_CAPOEIRAS,Florianópolis,D,25-34,MODERADA,0
41,COQUEIROS,Florianópolis,C,55+,BAIXA,0
42,VIA_EXPRESSA_CORREDOR,Florianópolis,B,25-34,MODERADA,1
43,TRINDADE,Florianópolis,D,55+,MODERADA,0
44,TRINDADE,Florianópolis,D,45-54,INTENSA,0
45,UFSC,Florianópolis,D,55+,MODERADA,0
46,LAGOA_CONCEICAO,Florianópolis,C,35-44,BAIXA,0
47,INGLESES,Florianópolis,A,55+,MODERADA,0
48,CANASVIEIRAS,Florianópolis,C,18-24,BAIXA,0
49,CANASVIEIRAS,Florianópolis,A,18-24,MODERADA,1
50,SAO_JOSE_BARREIROS,São José,C,55+,MODERADA,0
51,TRINDADE,Florianópolis,A,35-44,BAIXA,1
